FMTNAME,START,END,LABEL,MIN,MAX,DEFAULT,LENGTH,FUZZ,PREFIX,MULT,FILL,NOEDIT,TYPE,SEXCL,EEXCL,HLO,DECSEP,DIG3SEP,DATATYPE,LANGUAGE
I0AGEY16MCE,I70635,I70635,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70638,I70638,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70639,I70639,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70641,I70641,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70642,I70642,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70643,I70643,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70644,I70644,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70645,I70645,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70648,I70648,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70649,I70649,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I7065,I7065,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70661,I70661,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70662,I70662,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70663,I70663,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70668,I70668,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70669,I70669,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70691,I70691,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70692,I70692,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70693,I70693,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70698,I70698,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
I0AGEY16MCE,I70699,I70699,3,1,40,2,2,0,,0,,0,C,N,N,,,,,
